cell_type,root_id,root_626,fafb_match,fafb_nblast,manc_match,manc_nblast
DNp32,720575941472733451,720575941486680717,720575940630610042,0.45,11477,0.44
DNd02,720575941662395704,720575941662395704,720575940621388453,0.42,10194,0.43
DNg100,720575941626500746,720575941626500746,720575940640978048,0.51,10339,0.52
AN07B004,720575941631721954,720575941516280922,720575940612718563,0.42,10613,0.49
AN07B004,720575941566084871,720575941393983382,720575940626462014,0.46,11410,0.47
DNg100,720575941500851362,720575941491992807,720575940647228468,0.51,10093,0.52
DNd03,720575941620273535,720575941620273535,720575940627482114,0.39,10410,0.33
DNp30,720575941393242628,720575941393242628,720575940633228103,0.34,17211,0.38
AN19B001_b,720575941508609665,720575941508609665,720575940627377285,0.26,10063,0.48
DNg74_a,720575941492471502,720575941579876085,720575940622500172,0.5,10107,0.55
DNp103,720575941633206944,720575941633206944,720575940610505006,0.51,13089,0.53
DNge149,720575941505797682,720575941652579093,720575940607384242,0.38,11254,0.16
DNg98,720575941537710824,720575941537710824,720575940623338281,0.49,11959,0.5
DNge050,720575941401814307,720575941401814307,720575940611813842,0.51,11120,0.49
ANXXX005,720575941507745826,720575941507745826,720575940636556718,0.61,12749,0.44
DNg34,720575941663102520,720575941663102520,720575940644751652,0.38,10217,0.49
DNp103,720575941450378333,720575941450378333,720575940623781127,0.53,12855,0.45
AN02A001,720575941646264993,720575941604155638,720575940614138577,0.38,10137,0.45
DNp27,720575941454603689,720575941509165185,720575940628731140,0.33,14557,0.34
DNg98,720575941557552356,720575941562215469,720575940630810486,0.47,10336,0.48
DNg75,720575941595827158,720575941441623899,720575940612603289,0.5,11354,0.52
DNd02,720575941562932781,720575941516237817,720575940627771279,0.35,10526,0.38
DNg16,720575941551991295,720575941551991295,720575940645047831,0.5,10138,0.61
DNg74_b,720575941563183016,720575941563183016,720575940627087646,0.51,10532,0.57
DNb05,720575941447863316,720575941447863316,720575940629461442,0.51,10315,0.58
DNge047,720575941614432409,720575941614432409,720575940614342038,0.42,11697,0.39
DNg74_a,720575941652728049,720575941652728049,720575940633529548,0.5,10103,0.54
DNp10,720575941593683051,720575941593683051,720575940619678366,0.45,10835,0.62
ANXXX002,720575941619873407,720575941619873407,720575940632126412,0.33,10052,0.55
AN18B001,720575941579780597,720575941579780597,720575940645187784,0.33,10313,0.57
DNg35,720575941521274551,720575941521274551,720575940629805950,0.5,10476,0.58
DNae009,720575941504652482,720575941504652482,720575940620322497,0.52,11286,0.54
AN05B006,720575941618058197,720575941618058197,720575940630609170,0.48,10221,0.57
AN05B007,720575941586127750,720575941586127750,720575940613958194,0.36,10419,0.5
DNge047,720575941477713770,720575941477713770,720575940622565590,0.4,13113,0.39
DNg75,720575941595517735,720575941595517735,720575940614730914,0.53,11264,0.48
DNg74_b,720575941572471454,720575941572471454,720575940636656632,0.7,10466,0.55
AN04B001,720575941431071113,720575941431071113,720575940631269843,0.49,10179,0.57
DNg108,720575941519463278,720575941519463278,720575940632043576,0.5,10058,0.52
AN12B001,720575941477894686,720575941477894686,720575940613497395,0.36,10417,0.58
DNge150,720575941449384885,720575941449384885,720575940625489160,0.46,13548,0.35
ANXXX002,720575941646678984,720575941491648999,720575940618942721,0.43,10102,0.54
DNd03,720575941662645304,720575941662645304,720575940614660263,0.33,10491,0.3
DNg97,720575941572713886,720575941572713886,720575940620300308,0.53,10656,0.58
AN04B001,720575941451015802,720575941451015802,720575940603599206,0.57,10211,0.55
AN18B001,720575941593522283,720575941593522283,720575940635329180,0.37,10165,0.55
DNg34,720575941691308952,720575941691308952,720575940620543025,0.38,10210,0.46
DNp31,720575941618366079,720575941618366079,720575940628132745,0.5,10436,0.43
DNge037,720575941513768780,720575941513768780,720575940627826760,0.52,10535,0.48
DNg105,720575941535975873,720575941535975873,720575940647029044,0.48,10086,0.57
DNp30,720575941499964385,720575941490694453,720575940620156283,0.28,17883,0.28
