Root_ID	Top_in_out_region	Community_labels	Predicted_NT_type	Predicted_NT_confidence	Verified_NT_type	Verified_Neuropeptide	Body_Part	Function	Flow	Super_Class	Class	Sub_Class	Hemilineage	Nerve	Soma_side	Primary_Cell_Type	Alternative_Cell_Types	Cable_length_nm	Surface_area_nm^2	Volume_nm^3
720575940381905254	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940386709331	NO_CONS	soma_in_brain	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940387110289	NO_CONS	sensory_neuron	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940389711170	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940407089948	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940407172406	NO_CONS	soma_in_brain	_	_	_	_	_	_	_	_	_	_	_	_	right	_	_	_	_	_
720575940423635663	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940455504211	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940466517897	NO_CONS	sensory_neuron	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940471330221	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940530053271	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940532409661	NO_CONS	sensory_neuron	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940536617639	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940543356738	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940549049418	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940552653698	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940552915839	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940573388013	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940576446416	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940598878461	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940620993479	NO_CONS	glia	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940629827171	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940643564792	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940645033720	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940664354626	NO_CONS	_	_	_	_	_	_	_	afferent	sensory	_	_	_	left_antennal_nerve	left	_	_	_	_	_
720575940667310383	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940671284227	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940712830808	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940716005679	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940718065503	NO_CONS	soma_in_brain	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940734458782	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940739201896	NO_CONS	sensory_neuron	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940747802362	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940759202728	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940768048886	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940782753495	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940790368365	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940810412780	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940816048491	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940824565365	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940845592414	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940857006153	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940862294776	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940874541951	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940892921940	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940904283578	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940926161564	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940933900853	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940997489896	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575940999091146	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575941003800156	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575941016692088	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575941017949283	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575941018989929	NO_CONS	sensory_neuron	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575941045288190	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575941047047745	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575941047819142	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575941048455492	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575941065141997	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575941071734516	ME.NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	right	_	_	_	_	_
720575941074395353	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575941076956631	ME.NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	right	_	_	_	_	_
720575941092647849	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575941106590134	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575941115044334	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575941143269191	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575941169842515	NO_CONS	sensory_neuron	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575941171447866	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575941173040140	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575941176100655	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575941200956966	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575941206296150	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575941210294102	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575941215704637	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575941234868998	NO_CONS	sensory_neuron	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575941242726099	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575941278826444	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575941304733258	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575941312076502	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575941315303926	NO_CONS	sensory_neuron	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575941330661402	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575941333454302	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575941340259341	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575941345672048	NO_CONS	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
720575941350274352	T2_MESONM.T1_PRONM	soma_in_VNC	ACH	0.73	_	_	_	_	intrinsic	ventral_nerve_cord_intrinsic	_	ventral_nerve_cord_bilateral_interconnecting	18B	_	left	GFC1	GFC1	_	_	_
720575941350334256	INTTCT.LTCT	soma_in_VNC	GABA	0.96	gaba	_	_	_	intrinsic	ventral_nerve_cord_intrinsic	_	ventral_nerve_cord_bilateral_restricted	00A	_	left	IN00A059	IN00A059	_	_	_
720575941350352176	T2_MESONM	soma_in_VNC	GLUT	0.91	_	_	_	_	intrinsic	ventral_nerve_cord_intrinsic	single_leg_neuromere	ventral_nerve_cord_ipsilateral_restricted	21A	_	left	IN21A042	IN21A042	_	_	_
720575941350354224	INTTCT.HTCT	soma_in_VNC	GABA	0.95	gaba	_	_	_	intrinsic	ventral_nerve_cord_intrinsic	_	ventral_nerve_cord_bilateral_interconnecting	06A	_	right	IN06A085	IN06A085	_	_	_
720575941350374960	WTCT	soma_in_VNC	GLUT	0.95	glutamate	_	_	_	intrinsic	ventral_nerve_cord_intrinsic	_	ventral_nerve_cord_bilateral_interconnecting	08A	_	right	IN08A011	IN08A011_IN08A018_T2_L	_	_	_
720575941350393904	INTTCT.WTCT	soma_in_VNC	GABA	0.96	gaba	_	_	_	intrinsic	ventral_nerve_cord_intrinsic	_	ventral_nerve_cord_bilateral_interconnecting	06B	_	right	IN06B047	IN06B047	_	_	_
720575941350395952	WTCT	soma_in_VNC	GABA	0.97	gaba	_	_	proprioception	intrinsic	ventral_nerve_cord_intrinsic	_	ventral_nerve_cord_bilateral_interconnecting	00A	_	left	IN00A022	IN00A022	_	_	_
720575941350396464	WTCT	soma_in_VNC	GABA	0.99	gaba	_	_	_	intrinsic	ventral_nerve_cord_intrinsic	_	ventral_nerve_cord_bilateral_interconnecting	00A	_	left	IN00A043	IN00A043	_	_	_
720575941350409264	INTTCT.HTCT	soma_in_VNC	ACH	0.92	acetylcholine	_	_	_	intrinsic	ventral_nerve_cord_intrinsic	_	ventral_nerve_cord_bilateral_interconnecting	08B	_	right	IN08B073	IN08B073	_	_	_
720575941350413360	T2_MESONM	soma_in_VNC	ACH	0.93	acetylcholine	_	_	_	intrinsic	ventral_nerve_cord_intrinsic	_	ventral_nerve_cord_ipsilateral_restricted	04B	_	right	IN04B108	IN04B108	_	_	_
720575941350420016	T2_MESONM	soma_in_VNC	ACH	0.96	acetylcholine	_	_	_	intrinsic	ventral_nerve_cord_intrinsic	_	ventral_nerve_cord_ipsilateral_restricted	03A	_	left	IN03A071	IN03A071	_	_	_
720575941350424112	T3_METANM	soma_in_VNC	GLUT	0.93	_	_	_	_	intrinsic	ventral_nerve_cord_intrinsic	_	ventral_nerve_cord_contralateral_restricted	14A	_	left	IN14A018	IN14A018	_	_	_
720575941350427696	T3_METANM	soma_in_VNC	ACH	0.94	acetylcholine	_	_	proprioception	intrinsic	ventral_nerve_cord_intrinsic	_	ventral_nerve_cord_bilateral_interconnecting	10B	_	right	IN10B052	IN10B052	_	_	_
