Root_ID	Top_in_out_region	Verified_NT_type
720575941350334256	INTTCT.LTCT	gaba
720575941350354224	INTTCT.HTCT	gaba
720575941350374960	WTCT	glutamate
720575941350393904	INTTCT.WTCT	gaba
720575941350395952	WTCT	gaba
720575941350396464	WTCT	gaba
720575941350409264	INTTCT.HTCT	acetylcholine
720575941350413360	T2_MESONM	acetylcholine
720575941350420016	T2_MESONM	acetylcholine
720575941350427696	T3_METANM	acetylcholine
720575941350441008	WTCT	glutamate
720575941350441264	T2_MESONM	acetylcholine
720575941350443312	T3_METANM	acetylcholine
720575941350471472	T3_METANM	glutamate
720575941350473008	HTCT	acetylcholine
720575941350979376	EB	gaba
720575941351040048	MB_CA.MB_VL	acetylcholine
720575941351040304	T2_MESONM	gaba
720575941351118640	MB_CA.MB_VL	acetylcholine
720575941351169072	ME	acetylcholine
720575941351173424	LO.LOP	acetylcholine
720575941351174704	ME	acetylcholine
720575941351178288	ME.LOP	acetylcholine
720575941351182640	ME.LO	acetylcholine
720575941351188272	LO.LOP	acetylcholine
720575941351189040	LOP	glutamate
720575941351191344	ME.LOP	acetylcholine
720575941351191856	LO.LOP	acetylcholine
720575941351251248	LO.LOP	acetylcholine
720575941351260208	ME	glutamate
720575941351269936	ME	gaba
720575941351323440	LO.LOP	acetylcholine
720575941351325232	ME.LOP	acetylcholine
720575941351325744	LOP.ME	glutamate
720575941351347760	ME	acetylcholine
720575941351369520	ME.LOP	acetylcholine
720575941351384112	ME.LOP	acetylcholine
720575941351387440	LO.LOP	acetylcholine
720575941351388464	LO.LOP	acetylcholine
720575941351390512	ME.LOP	acetylcholine
720575941351392048	ME.LOP	acetylcholine
720575941351394096	ME.LOP	acetylcholine
720575941351399728	ME.LOP	acetylcholine
720575941351421488	LO.LOP	acetylcholine
720575941351427888	ME	glutamate
720575941351431216	LO	acetylcholine
720575941351436336	ME	gaba
720575941351438384	ME.UNASSIGNED	acetylcholine
720575941351444272	ME.LOP	acetylcholine
720575941351446576	ME	gaba
720575941351470128	LOP	acetylcholine
720575941351478064	ME	glutamate
720575941351504944	ME	gaba_nitric_oxide
720575941351511088	ME	gaba_nitric_oxide
720575941351530032	T3_METANM	acetylcholine
720575941351629104	ME	glutamate
720575941351655984	ME.LOP	acetylcholine
720575941351664688	ME	acetylcholine
720575941351666224	ME	glutamate
720575941351681072	LO.LOP	acetylcholine
720575941351686192	NO_CONS.LO	acetylcholine
720575941351688240	ME	acetylcholine
720575941351704624	LO.LOP	acetylcholine
720575941351711280	ME.LOP	acetylcholine
720575941351717168	LO.LOP	acetylcholine
720575941351775280	ME.LOP	acetylcholine
720575941351775792	LO.LOP	acetylcholine
720575941351776560	LO.LOP	acetylcholine
720575941351882544	ME.LO	acetylcholine
720575941351883568	MB_CA.MB_ML	acetylcholine
720575941351888688	ME	gaba_nitric_oxide
720575941351909680	T2_MESONM	gaba
720575941351912752	T1_PRONM	glutamate
720575941351919408	T2_MVAC.AVLP	acetylcholine
720575941351927600	WTCT	acetylcholine
720575941351990832	FB	glutamate
720575941352042288	MB_CA.MB_PED	acetylcholine
720575941352043312	MB_CA.NO_CONS	acetylcholine
720575941352049712	MB_CA.UNASSIGNED	acetylcholine
720575941352084784	AL	acetylcholine
720575941352132912	MB_ML	acetylcholine
720575941352155952	MB_CA	acetylcholine
720575941352181040	ME.LO	acetylcholine
720575941352199472	CRE.MB_ML	dopamine
720575941352202800	MB_CA.MB_ML	acetylcholine
720575941352233776	MB_CA.NO_CONS	acetylcholine
720575941352320560	ME.LO	acetylcholine
720575941352368688	T2_MESONM	gaba
720575941352460080	LO	acetylcholine
720575941352473648	LO	acetylcholine
720575941352525872	ME	glutamate
720575941352535088	T1_PRONM	acetylcholine
720575941352539440	AL	acetylcholine
720575941352544304	ME.LO	acetylcholine
720575941352587056	ME	acetylcholine
720575941352598832	ME	gaba_nitric_oxide
720575941352611888	FB	acetylcholine
720575941352616240	LO.LOP	acetylcholine
720575941352620080	ME	acetylcholine
720575941352675888	ME	glutamate
720575941352678192	ME	glutamate
720575941352694320	ME	acetylcholine
720575941352725808	ME	acetylcholine
720575941352751920	ME	acetylcholine
720575941352818224	ME	gaba_nitric_oxide
720575941352825904	AL	acetylcholine
720575941352844336	AL.LH	gaba
720575941352867120	HTCT	acetylcholine
720575941352877616	AL	acetylcholine
720575941352900400	T2_MESONM	acetylcholine
720575941352919856	T1_PRONM	acetylcholine
720575941352922928	T3_METANM	acetylcholine
720575941352925744	HTCT	acetylcholine
