root_id	group	nt_type
720575940596125868	LO.LOP	ACH
720575940597856265	ME	ACH
720575940597944841	ME.LO	ACH
720575940598267657	ME	GABA
720575940599333574	ME	ACH
720575940599457990	ME.LOP	ACH
720575940599459782	LO.LOP	ACH
720575940599704006	LO.LOP	ACH
720575940599729862	LO.LOP	ACH
720575940599733446	LO.LOP	ACH
720575940599736492	LA	ACH
720575940599755718	ME.LOP	ACH
720575940599763910	LO.LOP	ACH
720575940599797164	ME	GLUT
720575940600010668	LA	ACH
720575940600071689	LO.LOP	ACH
720575940600084489	ME.LO	ACH
720575940600101641	ME.LOP	ACH
720575940600124169	LO.LOP	ACH
720575940600143369	ME.LOP	ACH
720575940600150793	LO.LOP	ACH
720575940600433181	AMMC	ACH
720575940600547529	ME.LOP	ACH
720575940600588204	ME	ACH
720575940600623020	ME	GLUT
720575940600646173	AMMC.SAD	ACH
720575940600722348	ME	ACH
720575940600782252	ME	GLUT
720575940600850441	ME.LOP	ACH
720575940600866569	LO.LOP	ACH
720575940600934665	ME.LOP	ACH
720575940601103625	ME	ACH
720575940601206499	ME.LOP	ACH
720575940601263473	ME.LOP	ACH
720575940601325484	ME	ACH
720575940601412361	LOP.LO	ACH
720575940601423625	LO	ACH
720575940601598892	ME	GLUT
720575940601603185	ME.LO	ACH
720575940601653513	ME	GLUT
720575940601672201	ME.LOP	ACH
720575940601712649	LO	GABA
720575940601736201	ME	GABA
720575940601867017	LO	ACH
720575940602120928	AVLP	ACH
720575940602132509	SAD	ACH
720575940602140862	LO.LOP	ACH
720575940602289198	LA	ACH
720575940602313952	GNG	GLUT
720575940602337504	AVLP	ACH
720575940602353632	GNG	ACH
720575940602380768	AMMC	GABA
720575940602382304	GNG	ACH
720575940602398473	ME	ACH
720575940602401214	ME.LO	ACH
720575940602415584	WED	GABA
720575940602430944	GNG.IPS	ACH
720575940602444512	GNG	SER
720575940602483424	LO.AVLP	ACH
720575940602497726	LO.LOP	ACH
720575940602506208	SAD	ACH
720575940602553568	MB_CA.MB_ML	ACH
720575940602564320	MB_CA.MB_ML	ACH
720575940602572768	ME.LO	ACH
720575940602577598	LO.LOP	ACH
720575940602605536	MB_CA.MB_VL	ACH
720575940602618848	IPS	ACH
720575940602619249	ME	GLUT
720575940602718432	WED.PVLP	ACH
720575940602737598	LO.LOP	ACH
720575940602747360	FB	ACH
720575940602783968	EB	GABA
720575940602790610	LO.LOP	ACH
720575940602815200	MB_CA.MB_ML	ACH
720575940602829536	PLP.MB_ML	ACH
720575940602831328	FB	ACH
720575940602857440	ME.LO	ACH
720575940602857696	ME	GLUT
720575940602858464	ME.LO	ACH
720575940602879404	SAD.AVLP	ACH
720575940602880736	ME.LO	ACH
720575940602885344	IPS.LOP	GABA
720575940602891232	AMMC	ACH
720575940602893228	GNG	ACH
720575940602914988	AVLP	GABA
720575940602917088	PB	ACH
720575940602920364	FB	ACH
720575940602922976	ME.LO	ACH
720575940602928608	ME.LOP	ACH
720575940602943968	ME	GABA
720575940602964140	IPS.SPS	ACH
720575940602974688	AVLP	ACH
720575940602977248	LH	GABA
720575940603011808	LO.IB	ACH
720575940603012832	LAL	GABA
720575940603022304	ME.LOP	ACH
720575940603032748	IPS.PLP	ACH
720575940603042272	ME	ACH
720575940603045804	PLP.CRE	ACH
720575940603048108	FB	ACH
720575940603050668	MB_CA.MB_VL	ACH
720575940603067360	LO.PLP	ACH
720575940603082720	SLP	GLUT
720575940603084972	MB_CA.MB_ML	ACH
720575940603094700	EB	GABA
720575940603111392	MB_CA.MB_ML	ACH
720575940603117996	SMP	GLUT
720575940603121888	SLP.SMP	GABA
720575940603123936	AVLP	GLUT
720575940603125216	ICL.PVLP	GABA
720575940603152998	PLP	GLUT
720575940603167916	LH.AVLP	GLUT
720575940603174368	MB_CA.MB_ML	ACH
720575940603174572	LO.SPS	ACH
720575940603176049	ME	GLUT
720575940603186790	AVLP	ACH
720575940603195494	SAD.IPS	ACH
720575940603197408	FB	GLUT
720575940603200428	ME	ACH
720575940603201452	SPS.SAD	ACH
720575940603215532	ME	ACH
720575940603225312	LO.PVLP	ACH
720575940603231916	AL.MB_CA	ACH
720575940603233248	SIP.CRE	ACH
720575940603235500	VES	GABA
720575940603238828	FB	ACH
720575940603240876	ICL.SPS	ACH
720575940603250860	SMP.VES	ACH
720575940603266592	GNG	SER
720575940603268064	SLP.MB_ML	ACH
720575940603268780	ME	ACH
720575940603272038	LO.PVLP	ACH
720575940603274272	SIP.LAL	ACH
720575940603279648	PLP.CRE	GLUT
720575940603295200	ME	GLUT
720575940603314144	ME	GLUT
720575940603314656	ME	ACH
720575940603317216	MB_CA.MB_ML	ACH
720575940603318240	ME	ACH
720575940603327916	ME	ACH
720575940603331686	WED.ICL	GABA
720575940603333804	ME.LO	ACH
720575940603338156	LO	GABA
720575940603339232	ME.LOP	ACH
720575940603349216	LO.LOP	ACH
720575940603352748	SPS.ICL	GABA
720575940603365980	LO.LOP	ACH
720575940603366112	ME	GLUT
720575940603372460	ME	ACH
720575940603373916	LO.LOP	ACH
720575940603374624	AVLP	ACH
720575940603379168	ME.LO	ACH
720575940603383008	ME	ACH
