neuron1	neuron2	score
720575941486680717	720575940630610042	0.620281
720575941662395704	720575940621388453	0.464601
720575941626500746	720575940640978048	0.587687
720575941516280922	720575940612718563	0.584406
720575941393983382	720575940626462014	0.598477
720575941491992807	720575940647228468	0.575392
720575941620273535	720575940627482114	0.461313
720575941393242628	720575940633228103	0.679941
720575941508609665	720575940627377285	0.295884
720575941579876085	720575940622500172	0.574624
720575941633206944	720575940610505006	0.435275
720575941652579093	720575940607384242	0.491579
720575941537710824	720575940623338281	0.513157
720575941401814307	720575940611813842	0.606541
720575941507745826	720575940636556718	0.426919
720575941663102520	720575940644751652	0.520098
720575941450378333	720575940623781127	0.344704
720575941604155638	720575940614138577	0.0392266
720575941509165185	720575940628731140	0.665171
720575941562215469	720575940630810486	0.512986
720575941441623899	720575940612603289	0.615168
720575941516237817	720575940627771279	0.440871
720575941551991295	720575940645047831	0.608545
720575941563183016	720575940627087646	0.569329
720575941447863316	720575940629461442	0.214426
720575941614432409	720575940614342038	0.439495
720575941652728049	720575940633529548	0.553899
720575941593683051	720575940619678366	0.498596
720575941619873407	720575940632126412	0.398307
720575941579780597	720575940645187784	0.394772
720575941521274551	720575940629805950	0.615422
720575941504652482	720575940620322497	0.583472
720575941618058197	720575940630609170	0.38176
720575941586127750	720575940613958194	0.43925
720575941477713770	720575940622565590	0.535189
720575941595517735	720575940614730914	0.629631
720575941572471454	720575940636656632	0.564335
720575941431071113	720575940631269843	0.380395
720575941519463278	720575940632043576	0.579196
720575941477894686	720575940613497395	0.451516
720575941449384885	720575940625489160	0.535453
720575941491648999	720575940618942721	0.11282
720575941662645304	720575940614660263	0.499268
720575941572713886	720575940620300308	0.628708
720575941451015802	720575940603599206	0.391025
720575941593522283	720575940635329180	0.424813
720575941691308952	720575940620543025	0.560024
720575941618366079	720575940628132745	0.641884
720575941513768780	720575940627826760	0.620781
720575941535975873	720575940647029044	0.593889
720575941490694453	720575940620156283	0.723075
720575941510475536	720575940629327659	0.628604
720575941655202265	720575940632001640	0.409918
720575941353080624	720575940627107721	0.668714
720575941506237500	720575940624910887	0.439179
720575941568708398	720575940622303446	0.555181
720575941490699061	720575940626768442	0.589955
720575941504555570	720575940634224540	0.38747
720575941542749788	720575940613632997	0.43269
720575941569365242	720575940618426021	0.430593
720575941691706264	720575940622730239	0.390256
720575941554952858	720575940638204132	0.622223
720575941626272650	720575940631769058	0.405043
720575941439563583	720575940630135084	0.614497
720575941539327474	720575940610640482	0.601331
720575941561776173	720575940613339875	0.624154
720575941486612034	720575940630085583	0.683807
720575941552142727	720575940620918789	0.685088
720575941640505375	720575940620298772	0.562114
720575941519453550	720575940632472850	0.614425
720575941669856945	720575940623224811	0.42748
720575941441633883	720575940620082512	0.524001
720575941553670791	720575940625502666	0.615457
720575941510642192	720575940623468691	0.640639
720575941539242389	720575940630609170	0.397163
720575941540215501	720575940622838154	0.577227
720575941471955264	720575940632539788	0.616637
720575941529494660	720575940632991815	0.633293
720575941532746981	720575940641278965	0.617007
720575941688517388	720575940626085562	0.593121
720575941723377978	720575940626669355	0.389929
720575941532728195	720575940632868051	0.621572
720575941480799395	720575940624897516	0.548975
720575941492328167	720575940608188427	0.615615
720575941450261341	720575940628595944	0.439711
720575941611791590	720575940622673860	0.640414
720575941515944803	720575940609376707	0.567134
720575941595193558	720575940623276168	0.676853
720575941536140993	720575940630480348	0.557631
720575941629968166	720575940635591776	0.525615
720575941453030983	720575940653310198	0.618789
